project_id,project,description,ticker
PRO321,TapMe,TapMe is a play-to-earn with staking system and active Marchket.,TAP
PRO322,DareNFT,DareNFT is an universal NFT 2.0 protocol for Digital Assets.,DNFT
PRO323,Derived,"Derived is a Decemberentralised multi-chain asset protocol giving users the access to trade Stocks, Commodities, Forex or Crypto on a single platform with unlimited liquidity and no slippage.",DVD
PRO324,Demole,Demole.io is a vast monster world on Blockchains.,DMLG
PRO325,Blockchain Monster Hunt,Blockchain Monster Hunt is a multi-chain game that runs entirely on the blockchain itself.,BCMC
PRO326,Waterfall DeFi,Waterfall DeFi is a Decemberentralized protocol that brings true risk tranching to the DeFi landscape.,WTF
PRO327,Lazio Fan Token,Lazio Fan Token is a Binance Fan Token for S.S. Lazio on Binance SMarcht Chain.,LAZIO
PRO328,Jet Protocol,"Jet Protocol is a Decemberentralized borrowing and lending protocol built for speed, power, and scalability on Solana.",JET
PRO329,WonderHero,WonderHero is blockchain NFT (non-fungible token) play to earn mobile game.,WND
PRO330,BloXmove,BloXmove is a mobility blockchain platform operates at the Junection of the two sectors to connect electric mobility to the power grid and achieve net-zero carbon-neutral mobility as a service (MaaS).,BLXM
PRO331,Envelop,Envelop is a cross-chain protocol to provide NFT with real value.,NIFTSY
PRO332,Hero Arena,Hero Arena is a Metaverse RPG Game builded on blockchain technology.,HERA
PRO333,Gods Unchained,"A trading card game powered by the Ethereum Blockchain, where your ownership of each card is guaranteed by a sMarcht contract.",GODS
PRO334,Sandclock,Sandclock is a multichain DeFi platform with the objective of creating ultra programmable money by leveraging cutting-edge yield generating strategies.,QUARTZ
PRO335,Oh! Finance,Oh! Finance aggregates popular DeFi investment strategies and automatically compounds your earnings.,OH
PRO336,Aurory,Aurory is a JRPG computer game where people will evolve in a rich and diverse universe.,AURY
PRO337,Chimeras,"Chimeras is a new play-to-earn metaverse with free-to-play mechanics, entertainment at the core, and low or zero gas fees for game actions.",CHIM
PRO338,Space SIP,Space SIP is a Play to Earn NFT RPG developed on the Binance SMarcht Chain platform.,SIP
PRO339,ArtWallet,"ArtWallet is the inNovemberative NFT solution bringing together NFT Marchketplaces, creators, virtual galleries, and many more elements of digital art.",1ART
PRO340,Clearpool,"Clearpool is a Decemberentralized capital Marchkets ecosystem, creating a paradigm shift in how institutions borrow uncollateralized liquidity.",CPOOL
PRO341,Entropyfi,"Entropyfi is a lossless Decemberentralized gamified prediction Marchket on crypto-assets, NFTs, DeFi indexes, and other on/off-chain assets.",ERP
PRO342,Swash,"Swash is reimagining data ownership by enabling all actors of the data economy to earn, access, build and collaborate in a liquid digital ecosystem for data.",SWASH
PRO343,Scallop,"Scallop is an inNovemberative fintech ecosystem for users that want a faster, more efficient way to securely manage their crypto + fiat in a single place.",SCLP
PRO344,AcknoLedger,"AcknoLedger is a global platform which maps, monetize, and distributes Web 3.0 Digital Assets Seamlessly across all the Metaverses and Gaming NFTs.",ACK
PRO345,Duelist King,"Duelist King is a democratized card game whereby all Decemberisions made on the card issuance, distribution and proceeds allocation are governed by Decemberentralized mechanics on blockchain for proven fairness, transparency and best interests for the community.",DKT
PRO346,DOSE Token,"DOSE is the token of purchase, utility and action and is at the heart of the OliveX gamified fitness ecosystem.",DOSE
PRO347,Galactic Arena,Galactic Arena is a Play to Earn NFT game.,GAN
PRO348,DotOracle,DotOracle is a Decemberentralized network aims to provide real time data to blur the boundary between the Polkadot Ecosystem and the Off-Dot world.,DTO
PRO349,ENVOY Network,"ENVOY Network is passionate about building community driven NFT projects that tap into the fanbase of premium collectibles, artists and brands.",ENV
PRO350,The Monopolist,"The Monopolist is a digital Monopoly-style game that allows players to use their critical thinking to develop tactics through rolling dice, investing in land, building properties, and collecting rental fees to win the game.",MONO
PRO351,Ariadne,Ariadne is a cross-chain DeFi Marchketplace that is lowering the fees to enter/exit farms on multiple blockchains and saves swaps and bridges costs for both EVM and non-EVM chains.,ARDN
PRO352,Solend,"Algorithmic, Decemberentralized protocol for lending and borrowing on Solana",SLND
PRO353,ThorSwap,THORswap is a multi-chain DEX aggregator built on THORChain's cross-chain liquidity protocol.,THOR
PRO354,GooseFX,"GooseFX is a full suite DeFi platform built on the Solana blockchain and Serum DEX, offering a variety of unique Decemberentralized peer-to-peer financial products",GOFX
PRO355,CropBytes,CropBytes is a crypto farming game.,CBX
PRO356,Good Games Guild,Good Games Guild (GGG) is a Decemberentralized autonomous organization (DAO) that focus on non fungible tokens (NFTs) that oftenly used in blockchain-based games & virtual product.,GGG
PRO357,Ardana,Ardana is an asset backed stablecoin protocol and Decemberentralized exchange stable asset liquidity pool built on Cardano.,DANA
PRO358,HowlCity,"HowlCity is a Metaverse blockchain world where everyone competes in racing, makes new friends, and designs their own world.",HWL
PRO359,Cere Network,Cere Network is a Decemberentralized data cloud platform optimized for service data integration and data collaboration.,CERE
PRO360,Project SEED,"Project SEED is one of the first gaming ecosystems built on the Solana blockchain that includes a Game Studio, DEX, NFT Marchketplace, and Wallet.",SHILL
PRO361,SubDAO,SubDAO is a DAO infrastructure based on Polkadot.,GOV
PRO362,Meta Spatial,Meta Spatial is a metaverse virtual universe with many spaces created and linked together through the Spatial Portal.,SPAT
PRO363,Bemil,"Bemil is a gaming ecosystem where you can play, compete, and win across a vast array of mobile-first games.",BEM
PRO364,Elemon,"Elemon is inspired by the mysterious and beautiful world of Elematris, their mission is to build a comprehensive platform of digital monsters that will enable millions of individuals to participate in the NFT and blockchain-based gaming world in a simple, creative, and enjoyable way.",ELMON
PRO365,Trusted Node,Trusted Node is creating a validator network for proof-of-stake and next-generation blockchains.,TNODE
PRO366,​​Oly Sport,Oly Sport is expected to become one of the biggest horse racing games on the blockchain platform.,OLY
PRO367,Manta Network,Manta Network is the plug-and-play privacy-preservation protocol built to service the entire DeFi stack.,MANTA
PRO368,Vee.Finance,Vee Finance is a DeFi lending platform for traditional financial users.,VEE
PRO369,Dragon Kart,"Dragon Kart is the 3D battle racing game built on Binance SMarcht Chain, the characters in the game are taken from a Pikalong series by a Vietnamese well-known artist named Thang Fly.",KART
PRO370,YIN Finance,"YIN Finance is a proactive liquidity management platform, users can subscribe the proactive management strategy CHI in the contract to achieve effective high yield liquidity management.",YIN
PRO371,Chatex,Chatex is the second largest crypto wallet and p2p exchange in-app platform for Telegram.,CHTX
PRO372,CryptoXpress,CryptoXpress is offering cross-chain NFTs through its partnership with Polygon and are compatible with ERC20/BSC/Matic blockchains.,XPRESS
PRO373,Credefi,"Credefi is a first mover in the DeFi space, securely connecting Crypto lenders and SME borrowers from the real economy.",CREDI
PRO374,Cryowar,Cryowar is an action-packed mobile free-to-play NFT game on a Solana blockchain.,CWAR
PRO375,PlaceWar,PlaceWar is a Decemberentralised strategic play-to-earn game universe deployed on multi-chain with highly engaging artillery gameplay.,PLACE
PRO376,Numbers Protocol,"Numbers Protocol is a Decemberentralised photo network, for creating community, value and trust in digital media.",NUM
PRO377,UXD Protocol,UXD Protocol is a crypto native stablecoin backed by a delta neutral position using derivatives.,UXP
PRO378,Defactor,Defactor is an integration layer and suite of tools for traditional businesses to leverage Defi using the systems and processes which they already have in place.,FACTR
PRO379,Mytheria,“Mytheria: Clash of Pantheons” is the first NFT trading card game offering an exclusive create-to-earn community for artists called “GODFORGE”.,MYRA
PRO380,Genopets,"Genopets is the first free-to-play, Move-to-Earn NFT game that makes it fun and rewarding to live an active lifestyle.",GENE
PRO381,Pollen DeFi,Pollen DeFi is a first of it's kind Decemberentralized asset index where the community holds all the power.,PLN
PRO382,ReSource,"ReSource is a protocol for undercollateralized business credit, provided in Resource Dollars to real-world businesses.",SOURCE
PRO383,FC Porto Fan Token,"The FC Porto Fan Token (PORTO) is built and issued on the Binance SMarcht Chain (BSC) empowering FC Porto fans with broader accessibility, more functionalities, and lower transaction costs.",PORTO
PRO384,Libre DeFi,"Libre DeFi simplifies the entry into the DeFi space for both the casual and serious crypto investor, providing a user-based, frictionless on-boarding experience.",LIBRE
PRO385,Guild of Guardians,"Guild of Guardians is a multiplayer, fantasy action RPG (role-playing game) where players build their dream team of Guardians and compete in a guild to earn epic rewards.",GOG
PRO386,Polygonum Online,"Polygonum Online is a free-to-play, cross-platform multiplayer game with NFT Marchketplace where created live demand and supply from players.",POG
PRO387,Titan Hunters,"Titan Hunters is an MMORPG game with an incredible voxel graphic style and friendly-crypto, simple but addictive gameplay.",TITA
PRO388,Aurora,"Aurora is an EVM built on the NEAR Protocol, delivering a turn-key solution for developers to operate their apps on an Ethereum-compatible, high-throughput, scalable and future-safe platform, with low transaction costs for their users.",AURORA
PRO389,The Realm Defenders,The Realm Defenders is a Free to Play and Play to Earn RPG style strategy game based on Polygon blockchain.,TRD
PRO390,XDEFI Wallet,XDEFI Wallet is a multi-chain web browser extension currently available on Chrome and Brave built for DeFi users and NFT lovers.,XDEFI
PRO391,Gold Fever,Gold Fever is the Game the crypto community awaits because it merges fun and adventure with blockchain technology to create the ideal balance between mass adoption and economic utility.,NGL
PRO392,Tempus,Tempus is a future yield tokenization and fixed rate protocol.,TEMP
PRO393,Aprilicot Finance,"Aprilicot Finance is a Decemberentralized platform for devolved financial solutions, providing over-collateralized loan protocols to its users.",April
PRO394,Cheesus,"Cheesus is a multichain DeFi analytical tool with the main directions: copytrading, personal portfolio management, DeFi related information aggregator.",
PRO395,AntEx,AntEx creates a seamless cryptocurrency and fiat connection payment gateway that aim to accelerate crypto usage in the real-life.,ANTEX
PRO396,Lord Arena,Lord Arena is a blockchain-based action RPG game built and run on Solana and cross chain on BSC where anyone can play and earn tokens through intellectual gameplay and ecosystem engagement.,LORDA
PRO397,KAKA NFT World,KAKA NFT World is a competitive gaming ecosystem platform focusing on the metaverse blockchain gaming combined with NFT+DEFI.,KAKA
PRO398,DAOLaunch,DAOLaunch is to create an open and inclusive competitive environment for startup investment- the Decemberentralized Venture Capital concept.,DAL
PRO399,SolChicks,"SolChicks is a fantasy Play-to-Earn game built around SolChick NFT collectibles, where players use their SolChicks as their characters in a unique gaming metaverse.",CHICKS
PRO400,TaleCraft,TaleCraft is a Gaming NFT project on Avalanche.,CRAFT
PRO401,Panther Protocol,"Panther Protocol provides DeFi users with interoperable, fully collateralized privacy enhancing digital assets.",ZKP
PRO402,MS Token,The MS token gives you a chance to own one of the most valuable and renowned works of fine art in the world: The Millennium Sapphire.,MS
PRO403,Lobis,Lobis is a protocol specialized to participate in DeFi governance.,LOBI
PRO404,GovWorld,"GovWorld is the first DeFi ecosystem of its kind, leveraging the power of the most customizable P2P, cross-chain lending protocol on the blockchain.",GOV
PRO405,Blue Horizon,Blue Horizon is an NFT and DeFi Marchket place for artists and collectors.,BLH
PRO406,MonoX,"MonoX is a multi-layer, multi-chain DEX that solves the capital inefficiencies created by liquidity pairs, using a single token pool model.",MONO
PRO407,Waves.Exchange,Waves.Exchange is the easiest way to trade crypto - combining the security of a Decemberentralized system with the UX of the best centralized exchanges.,WX
PRO408,ConstitutionDAO,They’re buying the US Constitution. ConstitutionDAO is seeking an esteemed partner to publicly display the Constitution.,PEOPLE
PRO409,Holoride,Holoride creates an entirely new media category for passengers by connecting Extended Reality (XR) content with data points from the vehicle in real-time.,RIDE
PRO410,Mines Of Dalarnia,Mines of Dalarnia is an action-adventure game with a unique blockchain real-estate Marchket.,DAR
PRO411,NuNet,NuNet is a computing framework that provides globally distributed and optimized computing power and storage for Decemberentralized networks.,NTX
PRO412,Dtravel,"Dtravel is a Decemberentralized platform for members of the home sharing economy that facilitates short-term accommodation discovery, bookings and payments.",TRVL
PRO413,Hxro Network,Hxro Network is a Decemberentralised liquidity network for risk-based applications built on the Solana blockchain.,HXRO
PRO414,Nodle Cash,Nodle is the IoT chain of Polkadot that aims to bring connectivity and data liquidity to billions of IoT devices that normally sit in isolation. Their Nodle Cash App allows anyone with a sMarchtphone to earn crypto by connecting to nearby IoT devices.,NODL
PRO415,OneRare,OneRare is the world's first Metaverse for Food - Foodverse.,ORARE
PRO416,MELD,MELD is the first Decemberentralized and non-custodial DeFi banking protocol for lending and borrowing fiat and cryptocurrency.,MELD
PRO417,Zodium,"Zodium is a play-to-earn project based on 3D character NFTs, created by the co-founder of the legendary Line Friends collection.",ZODI
PRO418,​​Infinite Launch,​​Infinite Launch is a cross-chain fundraising platform for projects and NFTs.,ILA
PRO419,xHashtag,"xHashtag is a Work 4.0 DAO that lets registered users earn cryptocurrency by choosing from a number of simple on-chain, off-chain and creative tasks available to them.",XTAG
PRO420,ParaSwap,ParaSwap aggregates Decemberentralized exchanges and other DeFi services in one comprehensive interface to streamline and facilitate users' interactions with Ethereum's Decemberentralized finance.,
PRO421,WingSwap,WingSwap is the first DeFi platform that provides both AMM and intergrated NFT Farming functionalities on Fantom.,WIS
PRO422,MADworld,MADworld is a NFT platform for both real world and digital collectibles where the value and provenance of the artist and creator is protected on the multiverse,UMAD
PRO423,Moonbeam Сrowdloan,Moonbeam is a developer-oriented blockchain that strives to provide compatibility with the existing Ethereum developer toolchain and network.,GLMR
PRO424,Monkey League,Monkey League is a strategic based web 3 esports game.,MBS
PRO425,Biconomy,Biconomy is a technology company building transaction infrastructure for next-generation web 3 applications.,BICO
PRO426,Popcorn,Popcorn is aiding a revolutionary shift in global systems through accessible DeFi products that align financial wellbeing with positive global impact.,POP
PRO427,MODA DAO,MODA DAO is a Decemberentralised technology network and community.,MODA
PRO428,ShopNEXT,ShopNEXT is a Shop-To-Earn crypto onboarding platform promoted by Binance.,NEXT
PRO429,Prometheus,Prometheus is the first multichain NFT game to hybridize war chess and card play based on world mythology.,MGA
PRO430,Kryxivia,"Kryxivia is a fantasy 3D MMORPG, playable on any modern browser, , a whole eco-system awaiting new adventurous players to collect Kryxit.",KXA
PRO431,Moonscape,"Moonscape is the first-ever city-building game on Moonbeam. Compete and fight with other players for resources, and build your dream city on the moon.",MSCP
PRO432,WidiLand,WidiLand is a Play-to-earn NFT game based on blockchain technology.,WIDI
PRO433,DePocket,DePocket is a DeFi dashboard that enables users to manage and monitor cryptocurrency assets and NFT assets easily.,DEPO
PRO434,Symbiosis Finance,Symbiosis is a Decemberentralized multi-chain liquidity protocol.,SIS
PRO435,The Ethereum Name Service,"The Ethereum Name Service is a Decemberentralised naming for wallets, websites and more.",ENS
PRO436,Creaticles,Creaticles is the first Decemberentralized application for requesting custom NFTs from the NFT art community.,CRE8
PRO437,Street Runner,Street Runner is a universe inspired by street race and using the Play to Earn mechanism where anyone can earn tokens runing.,SRG
PRO438,Bitlocus,Bitlocus is building Terra-based DeFi investments platform for fiat-based users in a way where those users could invest into DeFi yield without actually interacting with crypto.,BTL
PRO439,GuildFi,GuildFi is a Web3 platform that empowers all gaming communities and creates interoperability across the Metaverse.,GF
PRO440,ArcadeNetwork,ArcadeNetwork is the world’s first Decemberentralised platform providing cross metaverse asset interoperability.,ARC
PRO441,Flux Protocol,Flux is a cross-chain oracle aggregator that provides sMarcht contracts with access to economically secure data feeds on anything,FLX
PRO442,Humans,"Humans is creating an all-in-one platform for AI-based creation and governance at scale, beginning an initial focus on synthetic media.",HEART
PRO443,Solclout,"SolClout is envisioning a platform to build a formidable community powered by Solana, a high throughput, scalable public blockchain project.",SCT
PRO444,MeLand.ai,"MeLand.ai is the first Learn-to-Earn Decemberentralized platform where players can challenge quizzes, create quizzes, build, own and monetize their gaming experience in the Polygon blockchain.",MELD
PRO445,Sportium,Sportium is an officially licensed multi-sports NFT platform.,SPRT
PRO446,​​Souni,Souni is a unity 3D MMORPG independent game in a Decemberentralized world based on Blockchain.,SON
PRO447,Umee,Umee is Decemberentralized infrastructure for cross chain interactions between networks.,UMEE
PRO448,Colony Lab,Colony is a Community-driven Avalanche ecosystem accelerator.,CLY
PRO449,Blockasset,Blockasset is a verified-only athlete NFT platform built on Solana.,BLOCK
PRO450,MetaSoccer,"MetaSoccer is the first soccer metaverse where you can manage your own club, find and train new players, play matches in your own NFT stadium and generate income while playing.",MSU
PRO451,Lumerin,Lumerin is a peer-to-peer protocol solution that enables data stream routing based on sMarcht contract rules.,LMR
PRO452,1Sol Protocol,"1Sol Protocol is a cross-chain DEX aggregator for Decemberentralized protocols on Solana, aiming to be the fastest and most comprehensive DeFi aggregator in the Marchketplace.",1SOL
PRO453,Rikkei Finance,"Rikkei Finance is a Metaverse DeFi Protocol, enabling a Safe and Secure Open Lending with core features: Cross-chain support, NFTs lending, and Liquidation coverage.",RIFI
PRO454,Happy Land,"HappyLand is a blockchain gaming platform, inspired by the Texas countryside.",HPL
PRO455,RaceFi,RaceFi is the first AI/ML integrated car racing game on the Solana ecosystem.,RACEFI
PRO456,Sipher,"Sipher is ab ambitious casual fighting and exploration game with an end-game goal of creating an open world social experience, built on the Ethereum blockchain.",SIPHER
PRO457,Galaxy Fight Club,Galaxy Fight Club is a cross-IP P2E PvP game for the NFT Universe.,GCOIN
PRO458,Fancy Birds,"Fancy Birds is a game studio and gaming platform for play-to-earn, NFT, and blockchain mini games.",FNC
PRO459,XY Finance,"The XY Finance Ecosystem includes DeFi, GamFi, and NFT.",XY
PRO460,DeHorizon,DeHorizon is a blockchain-based game.,DEVT
PRO461,Crypto Vs Zombie,"Crypto Vs Zombie is the first compete-to-earn, competitive crypto tower defence game, built on the Binance SMarcht Chain (BSC).",CVZ
PRO462,Silo,Silo is a non-custodial lending protocol to borrow against any crypto asset.,SILO
PRO463,The Spartans,The Spartans is a defense game based on Binance SMarcht Chain.,TSP
PRO464,DappRadar,"DappRadar is a track, analyze and discover Decemberentralized applications.",RADAR
PRO465,Voxies Tactics,Voxie Tactics is an tactical RPG game that integrates the Voxies NFT project and is free to play and play to earn.,VOXEL
PRO466,Manchester City Fan Token,Manchester City Fan Token is a fan token for Manchester City Football Club on the Chiliz Chain.,CITY
PRO467,Solv Protocol,Solv Protocol is the Decemberentralized infrastructure for creating and trading Financial NFTs.,SOLV
PRO468,Nitro League,Nitro League is a Decemberentralized game metaverse where the community can earn tokens by racing futuristic cars competitively or exploring the many in-game activities casually.,NITRO
PRO469,DeHR,"DeHR is Decemberentralized Social Career Metaverse where people fully control data to earn incomes, global jobs and relationships.",DEHR
PRO470,BENQI,"BENQI is a Decemberentralized non-custodial liquidity Marchket protocol, built on Avalanche.",QI
PRO471,Unbound,"Unbound finance is a Decemberentralized, cross-chain liquidity protocol that is building the next money lego by unlocking the liquidity from AMMs.",UNB
PRO472,Propel,Propel is a multi-chain blockchain Infrastructure Solution Provider.,PEL
PRO473,MetaGods,MetaGods is the next generation of play-to-earn action Massively Multiplayer Online RPG.,MGOD
PRO474,Sidus Heroes,Sidus Heroes is an AAA-level RPG game based on blockchain and crypto philosophy.,"SIDUS, SENATE"
PRO475,Gearbox Protocol,Gearbox is a generalized leverage protocol: it allows you to take leverage in one place and then use it across various DeFi protocols and platforms in a composable way.,GEAR
PRO476,Planet Sandbox,"Planet Sandbox is a virtual world where players can play, build, own, and monetize their virtual experiences.",PSB
PRO477,Astar Network Crowdloan,Astar Network is a scalable and interoperable infrastructure for Web3.0,ASTR
PRO478,Totem,Totem is building new earth systems by forging Web3 tools and communities into a single OS.,CTZN
PRO479,Safle,"Safle is a Decemberentralised blockchain identity wallet that enables secure private key management and seamless experience for dApps, DeFi and NFTs.",SAFLE
PRO480,WAM,"WAM is a play-to-earn social gaming platform where users can compete in skill-based tournaments on simple and highly engaging and entertaining hyper-casual games, to win crypto rewards.",WAM
PRO481,Quadency,Quadency is a unified cryptocurrency trading and strategy automation platform.,QUAD
PRO482,AAG Ventures,"AAG Ventures is the tech company that created AAG (Achip & Achair Guild), one of the fastest-growing guilds in the Play-to-Earn space.",AAG
PRO483,Chumbi Valley,Chumbi Valley is an enchanting role-playing blockchain game being built on BSC & Polygon.,CHMB
PRO484,Label,"Label is an NFT infrastructure with a permissionless P2P incubating platform to invest in world-class IP rights, powered by LBL utility and governance token.",LBL
PRO485,Geopoly,"Geopoly is a geolocation economic simulator that allows users to rent and buy, upgrade and sell real-life businesses all around the world.",GEO
PRO486,Crafting Finance,Crafting Finance is a synthetic asset issuance protocol and Decemberentralized contract trading exchange based on the Polkadot contract chain,CRF
PRO487,Crypto Fight Club,"Crypto Fight Club (CFC) is a new and inNovemberative NFT-enabled game that allows players to properly stake, battle opposing fighters, and even compete in championship events for real rewards.",FIGHT
PRO488,myMessage,myMessage is the world's first-ever light-grade Decemberentralized reddit-like social media and data storage platform built on a multi-chain structure.,MESA
PRO489,Zombie World Z,Zombie World Z is upgraded and developed based on Zombie Idle Defense - a successful and established game in the Marchket.,ZWZ
PRO490,UNQ Club,UNQ Club is a DeFi platform providing tools for collectors and investors to power the NFT space.,UNQ
PRO491,Forward Protocol,Forward Protocol is a pioneer blockchain project dedicated to Decemberentralizing and revolutionizing the education and learning spaces.,FORWARD
PRO492,UpOnly,UpOnly is a blockchain-based gaming is entering a golden era of development.,UPO
PRO493,Stay in Destiny World,"Stay In Destiny World is a DeFi NFT game with multi-gameplay combined including: Rare crypto-collectibles, Action Role-Playing, Farming strategy and Community Building.",SIW
PRO494,pSTAKE,pSTAKE is a liquid staking protocol unlocking the liquidity of staked assets.,PSTAKE
PRO495,izumi Finance,izumi Finance is the platform providing programmable liquidity as a service on Uniswap V3 multi-chains.,iZi
PRO496,Ecio,Ecio is a blockchain-based NFT Adventure-Fighting Game with all new unique characters designs.,ECIO
PRO497,L2PAD,L2PAD is an Ethereum Layer 2 launchpad built on optimism and arbitrum which acts as a “Quadratic VC DAO” and “Public and Private Goods Launchpad”.,L2PAD
PRO498,ImpactMarchket,"ImpactMarchket is an open and free platform that allows the creation and distribution of unconditional basic income between communities and their beneficiaries, according to their needs.",PACT
PRO499,MetaGaming Guild,MetaGaming Guild is a community-governed organization that makes game finance fairer for the masses.,MGG
PRO500,Santos FC Fan Token,"Santos FC Fan Token is a fan token for Santos Football Club on the Vila Belmiro, a bairro in the city of Santos.",SANTOS
PRO501,MeanFi,"MeanFi is a self-custody, permissionless and trustless web3 banking application powered by the Mean Protocol, and facilitates everyday banking and retail investment banking workflows to people and businesses around the world.",MEAN
PRO502,CeloLaunch,"CeloLaunch provides a constantly expanding set of Decemberentralized services by offering revolutionary, flexible technology to add value to the DeFi industry as a whole, in CELO Network specifically.",cLA
PRO503,Astra Guild Ventures,"Astra Guild Ventures is a Decemberentralized Autonomous Organization (DAO) that invests in Non-Fungible Tokens (NFTs) and other blockchain technologies to bridge the gap between investors, players, and NFT gaming enthusiasts worldwide.",AGV
PRO504,Decemberimated,Decemberimated is a 3rd person survival role playing game where players can choose to play a human citizen or a cyborg cop.,DIO
PRO505,Galaxy War,Galaxy War is a Defi and Multichain space strategy classic NFT game.,GWT
PRO506,Abachi,"Abachi is a platform that builds, funds and acquires tech that will onboard real world users to DeFi.",ABI
PRO507,Alethea AI,"Alethea AI will enable a metaverse of millions of intelligent and interactive characters to emerge, with their own thriving economics.",ALI
PRO508,World of Defish,World of Defish is a Decemberentralized NFT gaming universe running on BSC where players immerse themselves in the delightful underwater universe.,WOD
PRO509,Angels Creed,Angels Creed Is a new Play-To-Earn RPG game built on Binance SMarcht Chain.,ANGEL
PRO510,Solice,Solice is a cross platform VR metaverse on the Solana blockchain.,SLC
PRO511,Calaxy,Calaxy is the first app to run on the Creator’s Galaxy protocol.,CLXY
PRO512,Litentry Crowdloan,Litentry is a Decemberentralized identity aggregator that enables linking user identities across multiple networks.,LIT
PRO513,Avocado Dao,Avocado DAO is a collection of contributors that believe in the benefits of blockchain technologies and the metaverse.,AVG
PRO514,Fees.wtf,fees.wtf is the OG site showing Ethereum users their lifetime spend on Ethereum blockchain transactions.,WTF
PRO515,Goldfinch Finance,Goldfinch is a Decemberentralized credit platform for crypto loans without collateral.,GFI
PRO516,Ouro,OURO is the inflation-proof store of value that is 1-1 backed by crypto assets stored in the Reserve Pool.,OGS
PRO517,​​Rise of Defenders,Rise of Defenders is similar to the Tower Defense game with added RPG elements.,RDR
PRO518,Agoric,Agoric is an open-source development company launching an interoperable Proof-of-Stake chain and economy.,BLD
PRO519,Valhalla,Valhalla is a combat Play-to-Earn RPG game in a medieval Scandinavian setting based on blockchain and NFT technologies.,VALH
PRO520,Starbots,"Starbots is the first-ever playable robot battle NFT game on Solana where players gain profit through strategically assembling their own robots, winning battles, completing missions, and conquering new lands.",BOT
PRO521,Infinity Skies,Infinity Skies is an inNovemberative isometric 3D game based on Polygon categorizing itself in the creative sandbox genre.,ISKY
PRO522,Unique Network,Unique Network is a scalable blockchain for composable NFTs with advanced economies.,UNQ
PRO523,GhostMarchket,GhostMarchket is the most powerful cross-chain Non-Fungible Token (NFT) Marchketplace in the world.,GM
PRO524,Highstreet,Highstreet is a limited edition Marchketplace catered to influencer lead brands or product collaboration between celebrities and artists.,HIGH
PRO525,Legends of Mitra,Legends of Mitra is an NFT 3D play-to-earn defense strategy game.,MITA
PRO526,GARI Network,"GARI Network aims to build a crypto-powered creator economy on Chingari, India’s fastest growing short form video app with 85 Million+ downloads and 32 million+ Monthly Active Users.",GARI
PRO527,Deftify,"Deftify is a multi-purpose DeFi and Decemberentralized NFT platform that focuses on several product areas such as private funding, incubation, gaming and Marchket data aggregation.",DFTY
PRO528,Lockness,"Lockness is a protection, a Decemberentralized gateway inNovemberated for crypto payments all around the world.",LKN
PRO529,​​Monster Galaxy,"Monster Galaxy P2E is the blockchain game version of a legendary mobile game series wherein players own monster pets in the form of NFTs, and earn and trade GGM, the in-game token, for in-game items.",GGM
PRO530,Starly.io,Starly.io is creating a space for artists and collectors to build economies around gamified NFT collectible cards.,STARLY
PRO531,Savage,Savage is the first carbon-neutral NFT platform made for filmmakers and photographers.,SAVG
PRO532,League of Kingdoms,League of Kingdoms is the first 4x MMO strategy game and one of the fastest-growing blockchain MMO games in the world.,LOKA
PRO533,MetaGear,"MetaGear is a NFT and Metaverse-based Pixel combat game, focusing on quality, enhancing users' experience, and bringing real value to the community.",GEAR
PRO534,ParaState,"ParaState is a multi-chain sMarcht contract platform bridging the application and developer ecosystem between Polkadot, Substrate and Ethereum, as well as other networks wanting to provide high-performance Ethereum compatibility.",STATE
PRO535,PsyOptions,PsyOptions is an American style options protocol built on the Solana blockchain.,PSY
PRO536,Hubble Protocol,Hubble is a fee-sharing Decemberentralized finance (DeFi) protocol built on Solana that will offer multiple DeFi services as the protocol and DeFi continue to mature and expand.,HBB
PRO537,GemUni,"GemUni is building a Decemberentralized Universe of Casual Games for everyone around the world to engage in Fun, Easy, and Play to Earn Games.",GENI
PRO538,Play It Forward DAO,Play It Forward DAO - an ecosystem designed to drive growth of the Metaverse,PIF
PRO539,Space Misfits,Space Misfits is a 3D Multiplayer Space game built with ENJIN Blockchain technology giving players an opportunity to “Play to Earn”.,SMCW
PRO540,Zone,Zone is a community-driven GameFi ecosystem built on the Algorand blockchain.,ZONE
PRO541,Mobland,Mobland is a play-to-earn mafia game.,SYNR
PRO542,Lootex,Lootex is a player-centric cross-chain NFT trading platform that shares the latest blockchain game info.,LOOT
PRO543,​​Tank Wars Zone,​​Tank Wars Zone is an exciting and visually refreshing action game built on blockchain technology.,WBOND
PRO544,Himo World,"Himo World is an NFT game with a Play-to-Earn feature, in which players can engage in battles with others, build their team to their favourite to explore the universe, or choose to become observers of the war.",HIMO
PRO545,Spellfire,Spellfire is a magical collectible card game with close to 30 years of history.,SPELLFIRE
PRO546,Ronin,"Ronin is an EVM based blockchain, crafted for developers who want to build games with player-owned economies.",RON
PRO547,Unilab,"Unilab is built to solve the cross-cutting concerns across the life-cycle of sMarcht contract development, deployment & management for everyone.",ULAB
PRO548,Affyn,Affyn is a Singapore-based company building an integrated ecosystem with a Play-to-Earn Metaverse where the virtual and real world converge.,FYN
PRO549,Ambire Wallet,"Ambire Wallet is a new-generation, full-featured cryptocurrency wallet, designed for anyone from the absolute beginner in crypto to the crypto- and DeFi-savvy users.",WALLET
